fire_rate_profile,level,chapter,grade,grade_zh,max_progress_pct,base_hp_pct,cleared,edge_reached,timed_out,unwinnable_reason,clear_time_seconds,clear_time_cap_seconds,weapon,character_level,weapon_level,armor_level,chip_level,pet_level,signature_level,gold_before,xp_before,stars_before,crowd_dps,boss_dps
tier_a,1,1,easy,轻松,1.12,100.0,True,False,False,,71.053,180.0,weapon_autocannon,1,1,0,0,0,0,0,0,0,733.74,111.98
tier_a,2,1,easy,轻松,1.0,100.0,True,False,False,,74.982,180.0,weapon_autocannon,2,3,0,0,0,0,59,249,2,1007.91,153.83
tier_a,3,1,easy,轻松,0.78,100.0,True,False,False,,76.355,180.0,weapon_autocannon,3,4,0,0,0,0,241,302,4,1084.98,165.59
tier_a,4,1,easy,轻松,0.64,100.0,True,False,False,,71.897,180.0,weapon_autocannon,4,5,0,0,0,0,329,328,6,1205.88,180.6
tier_a,5,1,light_pressure,略有压力,72.02,100.0,True,False,False,,78.099,180.0,weapon_autocannon,4,6,0,0,0,0,349,86,0,1441.59,330.02
tier_a,6,1,easy,轻松,0.91,100.0,True,False,False,,106.326,180.0,weapon_autocannon,5,7,0,0,0,0,33,179,2,1635.04,249.54
tier_a,7,1,easy,轻松,1.22,100.0,True,False,False,,67.332,180.0,weapon_autocannon,5,8,0,0,0,0,136,345,4,1597.75,239.29
tier_a,8,1,easy,轻松,0.98,100.0,True,False,False,,105.222,180.0,weapon_autocannon,5,9,0,0,0,1,32,13,6,1921.21,287.73
tier_a,9,1,easy,轻松,1.06,100.0,True,False,False,,91.248,180.0,weapon_autocannon,5,10,4,0,0,1,306,273,0,2059.47,297.74
tier_a,10,1,light_pressure,略有压力,70.28,100.0,True,False,False,,73.542,180.0,weapon_autocannon,6,11,4,0,0,1,259,315,2,2468.19,554.48
tier_a,11,2,easy,轻松,1.66,100.0,True,False,False,,118.926,180.0,weapon_autocannon,6,12,5,0,0,1,143,655,4,2457.43,368.04
tier_a,12,2,easy,轻松,0.85,100.0,True,False,False,,93.783,180.0,weapon_autocannon,7,13,5,0,0,1,435,351,6,2743.3,396.61
tier_a,13,2,easy,轻松,0.89,100.0,True,False,False,,121.485,180.0,weapon_autocannon,7,14,6,0,0,1,80,116,8,2906.56,435.31
tier_a,14,2,easy,轻松,0.67,100.0,True,False,False,,112.718,180.0,weapon_autocannon,7,15,6,0,0,1,241,733,1,3149.85,434.83
tier_a,15,2,high,难度高,100.0,98.38,True,True,False,,96.111,180.0,weapon_scattergun,7,6,6,0,0,1,87,484,3,3669.57,756.14
tier_a,16,2,easy,轻松,0.8,100.0,True,False,False,,125.765,180.0,weapon_scattergun,8,8,6,0,0,1,40,329,5,4936.98,678.2
tier_a,17,2,easy,轻松,0.6,100.0,True,False,False,,109.745,180.0,weapon_scattergun,8,9,7,0,0,1,123,244,7,5300.59,728.15
tier_a,18,2,easy,轻松,0.62,100.0,True,False,False,,112.428,180.0,weapon_scattergun,9,10,8,0,0,1,241,154,9,5646.38,719.35
tier_a,19,2,easy,轻松,0.91,100.0,True,False,False,,92.528,180.0,weapon_scattergun,9,11,8,0,0,1,28,675,11,6029.6,768.17
tier_a,20,2,high,难度高,100.0,98.07,True,True,False,,98.772,180.0,weapon_scattergun,10,12,8,0,0,2,633,278,13,7624.48,1457.04
tier_a,21,3,easy,轻松,0.66,100.0,True,False,False,,109.046,180.0,weapon_scattergun,10,13,9,0,0,2,156,307,1,8200.98,974.11
tier_a,22,3,easy,轻松,1.05,100.0,True,False,False,,120.122,180.0,weapon_scattergun,10,14,9,0,0,2,402,108,3,8699.86,1033.36
tier_a,23,3,easy,轻松,1.06,100.0,True,False,False,,94.678,180.0,weapon_scattergun,10,15,9,0,0,2,519,846,5,9211.62,1094.15
tier_a,24,3,easy,轻松,0.85,100.0,True,False,False,,103.242,180.0,weapon_scattergun,10,16,9,0,0,2,724,816,7,9736.25,1156.46
tier_a,25,3,high,难度高,100.0,96.72,True,True,False,,108.507,180.0,weapon_scattergun,10,17,9,0,0,2,35,713,1,10382.1,2167.7
tier_a,26,3,easy,轻松,1.0,100.0,True,False,False,,112.155,180.0,weapon_scattergun,10,18,10,0,0,2,174,1648,3,10417.21,1386.52
tier_a,27,3,easy,轻松,1.07,100.0,True,False,False,,96.319,180.0,weapon_scattergun,10,19,10,0,0,2,726,583,5,10959.29,1458.67
tier_a,28,3,easy,轻松,0.93,100.0,True,False,False,,102.313,180.0,weapon_scattergun,10,20,10,0,0,2,681,1319,7,11513.76,1532.47
tier_a,29,3,easy,轻松,0.63,100.0,True,False,False,,104.903,180.0,weapon_scattergun,10,21,10,4,0,2,58,164,1,14232.14,1894.28
tier_a,30,3,high,难度高,100.0,96.98,True,True,False,,125.621,180.0,weapon_scattergun,10,21,10,6,0,2,222,1028,3,15767.94,3292.23
tier_a,31,4,easy,轻松,0.65,100.0,True,False,False,,98.227,180.0,weapon_scattergun,10,22,10,9,0,2,243,1856,5,16962.35,2257.67
tier_a,32,4,easy,轻松,0.44,100.0,True,False,False,,108.079,180.0,weapon_scattergun,10,23,10,9,0,2,239,822,7,22967.71,3053.4
