level,chapter,next_chapter_target,next_chapter_weakness,legacy_weapon,legacy_weapon_level,legacy_effective_power,v2_weapon,v2_weapon_level,v2_effective_power,weapon_changed,level_delta,v2_purchases_after_clear,v2_preferred_next_weapon,v2_catch_up_target_weapon,v2_priority_gold_spent
1,1,2,ice,weapon_autocannon,1,17,weapon_autocannon,1,17,False,0,,weapon_autocannon,,100
2,1,2,ice,weapon_autocannon,3,18,weapon_autocannon,3,18,False,0,,weapon_autocannon,,240
3,1,2,ice,weapon_autocannon,4,22,weapon_autocannon,4,22,False,0,,weapon_autocannon,,310
4,1,2,ice,weapon_autocannon,5,23,weapon_autocannon,5,23,False,0,weapon_cryocannon,weapon_autocannon,weapon_cryocannon,560
5,1,2,ice,weapon_autocannon,6,24,weapon_autocannon,6,23,False,0,,weapon_autocannon,weapon_cryocannon,450
6,1,2,ice,weapon_autocannon,7,27,weapon_autocannon,7,27,False,0,,weapon_autocannon,weapon_cryocannon,520
7,1,2,ice,weapon_autocannon,8,34,weapon_autocannon,8,31,False,0,,weapon_autocannon,weapon_cryocannon,590
8,1,2,ice,weapon_autocannon,9,42,weapon_autocannon,9,35,False,0,armor_kevlar,weapon_autocannon,weapon_cryocannon,660
9,1,2,ice,weapon_autocannon,9,43,weapon_autocannon,10,33,False,1,,weapon_autocannon,weapon_cryocannon,730
10,1,2,ice,weapon_autocannon,10,53,weapon_autocannon,11,40,False,1,,weapon_autocannon,weapon_cryocannon,800
11,2,3,physical,weapon_autocannon,10,54,weapon_autocannon,12,45,False,2,,weapon_autocannon,weapon_autocannon,870
12,2,3,physical,weapon_autocannon,11,63,weapon_autocannon,13,50,False,2,,weapon_autocannon,weapon_autocannon,940
13,2,3,physical,weapon_autocannon,12,72,weapon_autocannon,14,57,False,2,weapon_scattergun,weapon_autocannon,weapon_scattergun,1496
14,2,3,physical,weapon_autocannon,12,92,weapon_autocannon,15,52,False,3,,weapon_autocannon,weapon_scattergun,1638
15,2,3,physical,weapon_autocannon,13,109,weapon_scattergun,6,60,True,-7,,weapon_scattergun,weapon_scattergun,810
16,2,3,physical,weapon_autocannon,13,90,weapon_scattergun,7,69,True,-6,,weapon_scattergun,weapon_scattergun,936
17,2,3,physical,weapon_autocannon,14,102,weapon_scattergun,8,72,True,-6,,weapon_scattergun,weapon_scattergun,1062
18,2,3,physical,weapon_scattergun,6,123,weapon_scattergun,9,64,False,3,,weapon_scattergun,weapon_scattergun,1188
19,2,3,physical,weapon_scattergun,8,135,weapon_scattergun,10,85,False,2,,weapon_scattergun,weapon_scattergun,1314
20,2,3,physical,weapon_scattergun,10,177,weapon_scattergun,11,88,False,1,weapon_railgun,weapon_scattergun,weapon_scattergun,1440
21,3,4,poison,weapon_scattergun,12,169,weapon_scattergun,12,101,False,0,,weapon_scattergun,,1566
22,3,4,poison,weapon_scattergun,12,205,weapon_scattergun,13,92,False,1,,weapon_scattergun,,1692
23,3,4,poison,weapon_scattergun,13,189,weapon_scattergun,14,105,False,1,,weapon_scattergun,,1818
24,3,4,poison,weapon_scattergun,14,207,weapon_scattergun,15,104,False,1,weapon_venomlauncher,weapon_scattergun,weapon_venomlauncher,3168
25,3,4,poison,weapon_scattergun,14,279,weapon_scattergun,16,124,False,2,,weapon_scattergun,weapon_venomlauncher,912
26,3,4,poison,weapon_scattergun,14,262,weapon_scattergun,16,97,False,2,,weapon_scattergun,weapon_venomlauncher,3318
27,3,4,poison,weapon_scattergun,15,308,weapon_scattergun,17,113,False,2,,weapon_scattergun,weapon_venomlauncher,2196
28,3,4,poison,weapon_scattergun,16,309,weapon_scattergun,18,107,False,2,chip_attack,weapon_scattergun,weapon_venomlauncher,2322
29,3,4,poison,weapon_scattergun,16,354,weapon_scattergun,19,154,False,3,,weapon_scattergun,weapon_venomlauncher,2448
30,3,4,poison,weapon_scattergun,17,339,weapon_scattergun,20,148,False,3,,weapon_scattergun,weapon_venomlauncher,4326
31,4,5,fire,weapon_scattergun,18,382,weapon_scattergun,21,160,False,3,,weapon_scattergun,,2700
32,4,5,fire,weapon_scattergun,18,342,weapon_scattergun,22,149,False,4,weapon_flamethrower,weapon_scattergun,weapon_flamethrower,4302
33,4,5,fire,weapon_scattergun,19,393,weapon_scattergun,23,165,False,4,,weapon_scattergun,weapon_flamethrower,1494
34,4,5,fire,weapon_scattergun,19,416,weapon_scattergun,23,175,False,4,,weapon_scattergun,weapon_flamethrower,4140
35,4,5,fire,weapon_scattergun,19,618,weapon_scattergun,24,262,False,5,,weapon_scattergun,weapon_flamethrower,1314
36,4,5,fire,weapon_scattergun,20,414,weapon_scattergun,24,164,False,4,,weapon_scattergun,weapon_flamethrower,4518
37,4,5,fire,weapon_scattergun,20,501,weapon_scattergun,25,205,False,5,,weapon_scattergun,weapon_flamethrower,4770
38,4,5,fire,weapon_scattergun,21,582,weapon_scattergun,26,238,False,5,,weapon_scattergun,weapon_flamethrower,5022
39,4,5,fire,weapon_scattergun,22,633,weapon_scattergun,27,257,False,5,,weapon_scattergun,weapon_flamethrower,5274
40,4,5,fire,weapon_scattergun,22,489,weapon_scattergun,28,237,False,6,weapon_plasmacannon,weapon_scattergun,weapon_plasmacannon,6206
41,5,6,lightning,weapon_scattergun,23,625,weapon_scattergun,29,244,False,6,,weapon_scattergun,,3708
42,5,6,lightning,weapon_scattergun,24,703,weapon_scattergun,30,271,False,6,,weapon_scattergun,,3834
43,5,6,lightning,weapon_scattergun,24,782,weapon_scattergun,31,302,False,7,,weapon_scattergun,,3960
44,5,6,lightning,weapon_scattergun,25,825,weapon_scattergun,32,376,False,7,,weapon_scattergun,,4086
45,5,6,lightning,weapon_scattergun,25,1171,weapon_scattergun,33,475,False,8,weapon_teslacoil,weapon_scattergun,weapon_teslacoil,6180
46,5,6,lightning,weapon_scattergun,26,1008,weapon_scattergun,34,371,False,8,,weapon_scattergun,weapon_teslacoil,2328
47,5,6,lightning,weapon_scattergun,27,1122,weapon_scattergun,34,384,False,7,,weapon_scattergun,weapon_teslacoil,6090
48,5,6,lightning,weapon_scattergun,27,1242,weapon_scattergun,35,447,False,8,,weapon_scattergun,weapon_teslacoil,6384
49,5,6,lightning,weapon_scattergun,28,1067,weapon_scattergun,36,365,False,8,pet_turret_drone,weapon_scattergun,weapon_teslacoil,6678
50,5,6,lightning,weapon_scattergun,28,1245,weapon_scattergun,37,569,False,9,,weapon_scattergun,weapon_teslacoil,2256
51,6,7,lightning,weapon_scattergun,29,1194,weapon_scattergun,37,521,False,8,,weapon_scattergun,weapon_teslacoil,0
52,6,7,lightning,weapon_scattergun,29,770,weapon_scattergun,37,340,False,8,,weapon_scattergun,weapon_teslacoil,0
53,6,7,lightning,weapon_scattergun,29,635,weapon_scattergun,37,277,False,8,,weapon_scattergun,weapon_teslacoil,0
